date,county,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
4/21/2020,Alpine ,0,0,0,0,0
4/21/2020,Amador,0,0,0,0,0
4/21/2020,Butte,82,82,0,0,0
4/21/2020,Calaveras,20,20,0,0,0
4/21/2020,Colusa,0,0,0,0,0
4/21/2020,Contra Costa,340,3,0,0,0
4/21/2020,Del Norte,0,0,0,0,0
4/21/2020,El Dorado,0,0,0,0,0
4/21/2020,Fresno,305,250,28,28,0
4/21/2020,Glenn ,0,0,0,0,0
4/21/2020,Humboldt,44,11,15,0,0
4/21/2020,Imperial,36,0,37,10,0
4/21/2020,Inyo,10,1,0,0,0
4/21/2020,Kern,2,2,15,15,0
4/21/2020,Kings,0,0,0,0,0
4/21/2020,Lake ,10,10,0,0,0
4/21/2020,Lassen,1,1,0,0,0
4/21/2020,Los Angeles,3292,939,658,647,0
4/21/2020,Madera,0,0,0,0,0
4/21/2020,Marin ,112,73,44,0,0
4/21/2020,Mariposa,44,13,0,0,0
4/21/2020,Mendocino,140,101,0,0,0
4/21/2020,Merced,10,0,0,0,0
4/21/2020,Modoc,10,0,0,0,0
4/21/2020,Mono ,48,1,0,0,0
4/21/2020,Monterey,0,0,108,15,8
4/21/2020,Napa,104,48,18,0,0
4/21/2020,Nevada,27,0,0,0,0
4/21/2020,Orange,276,31,78,78,0
4/21/2020,Placer,32,32,12,0,0
4/21/2020,Plumas,0,0,0,0,0
4/21/2020,Riverside,422,303,15,15,0
4/21/2020,Sacramento,316,63,63,63,0
4/21/2020,San Benito,67,41,3,3,0
4/21/2020,San Bernardino,50,37,20,0,20
4/21/2020,San Diego,2029,409,44,44,0
4/21/2020,San Francisco,1273,737,0,0,0
4/21/2020,San Joaquin,0,0,8,8,0
4/21/2020,San Luis Obispo,154,4,14,14,0
4/21/2020,San Mateo,94,64,0,0,0
4/21/2020,Santa Barbara,85,9,0,0,0
4/21/2020,Santa Clara,575,226,105,105,0
4/21/2020,Santa Cruz,27,20,35,0,0
4/21/2020,Shasta ,20,0,0,0,0
4/21/2020,Sierra,0,0,0,0,0
4/21/2020,Siskiyou,0,0,6,6,0
4/21/2020,Solano ,0,0,0,0,0
4/21/2020,Sonoma,45,45,0,0,0
4/21/2020,Stanislaus,121,0,0,0,0
4/21/2020,Sutter,16,16,5,0,0
4/21/2020,Tehama,0,0,5,5,0
4/21/2020,Trinity,10,0,0,0,0
4/21/2020,Tulare,56,0,0,0,0
4/21/2020,Tuolumne,0,0,0,0,0
4/21/2020,Ventura,398,275,0,0,0
4/21/2020,Yolo,246,206,0,0,0
4/21/2020,Yuba,35,18,5,0,0
4/22/2020,Alameda,403,346,91,91,0
4/22/2020,Alpine,0,0,0,0,0
4/22/2020,Amador,0,0,0,0,0
4/22/2020,Butte,82,82,0,0,0
4/22/2020,Calaveras,20,20,0,0,0
4/22/2020,Colusa,0,0,0,0,0
4/22/2020,Contra Costa,340,3,0,0,0
4/22/2020,Del Norte,0,0,0,0,0
4/22/2020,El Dorado,0,0,0,0,0
4/22/2020,Fresno,305,250,28,28,0
4/22/2020,Glenn,0,0,0,0,0
4/22/2020,Humboldt,44,11,15,0,0
4/22/2020,Imperial,36,0,37,10,0
4/22/2020,Inyo,10,1,0,0,0
4/22/2020,Kern,2,2,15,15,0
4/22/2020,Kings,0,0,0,0,0
4/22/2020,Lake,10,10,0,0,0
4/22/2020,Lassen,1,1,0,0,0
4/22/2020,Los Angeles,3292,1054,658,647,0
4/22/2020,Madera,0,0,0,0,0
4/22/2020,Marin,132,80,44,0,0
4/22/2020,Mariposa,44,12,0,0,0
4/22/2020,Mendocino,143,104,0,0,0
4/22/2020,Merced,10,0,0,0,0
4/22/2020,Modoc,10,1,0,0,0
4/22/2020,Mono,48,0,0,0,0
4/22/2020,Monterey,142,1,108,15,8
4/22/2020,Napa,104,48,18,0,0
4/22/2020,Nevada,27,0,0,0,0
4/22/2020,Orange,276,31,78,78,0
4/22/2020,Placer,32,32,12,0,0
4/22/2020,Plumas,0,0,0,0,0
4/22/2020,Riverside,422,303,15,15,0
4/22/2020,Sacramento,316,63,63,63,0
4/22/2020,San Benito,67,61,3,3,0
4/22/2020,San Bernardino,50,37,20,0,20
4/22/2020,San Diego,2029,409,44,44,0
4/22/2020,San Francisco,1328,729,0,0,0
4/22/2020,San Joaquin,0,0,8,8,0
4/22/2020,San Luis Obispo,154,4,14,14,0
4/22/2020,San Mateo,134,85,0,0,0
4/22/2020,Santa Barbara,85,9,0,0,0
4/22/2020,Santa Clara,575,230,105,105,0
4/22/2020,Santa Cruz,27,20,35,0,0
4/22/2020,Shasta,20,0,0,0,0
4/22/2020,Sierra,0,0,0,0,0
4/22/2020,Siskiyou,0,0,6,6,0
4/22/2020,Solano,0,0,0,0,0
4/22/2020,Sonoma,45,45,0,0,0
4/22/2020,Stanislaus,121,19,0,0,0
4/22/2020,Sutter,16,16,5,0,0
4/22/2020,Tehama,0,0,5,5,0
4/22/2020,Trinity,10,0,0,0,0
4/22/2020,Tulare,56,0,0,0,0
4/22/2020,Tuolumne,0,0,0,0,0
4/22/2020,Ventura,398,275,0,0,0
4/22/2020,Yolo,246,206,0,0,0
4/22/2020,Yuba,41,18,5,0,0
4/23/2020,Alameda ,403,346,91,91,0
4/23/2020,Alpine ,0,0,0,0,0
4/23/2020,Amador ,0,0,0,0,0
4/23/2020,Butte ,87,87,0,0,0
4/23/2020,Calaveras ,75,20,0,0,0
4/23/2020,Colusa ,0,0,0,0,0
4/23/2020,Contra Costa ,340,129,0,0,0
4/23/2020,Del Norte ,0,0,0,0,0
4/23/2020,El Dorado ,26,0,0,0,0
4/23/2020,Fresno ,305,250,28,28,0
4/23/2020,Glenn ,9,9,0,0,0
4/23/2020,Humboldt,44,11,15,0,0
4/23/2020,Imperial ,36,0,37,10,0
4/23/2020,Inyo ,10,1,0,0,0
4/23/2020,Kern ,2,2,15,15,0
4/23/2020,Kings ,0,0,0,0,0
4/23/2020,Lake ,15,10,0,0,0
4/23/2020,Lassen ,1,1,0,0,0
4/23/2020,Los Angeles ,3292,1054,658,649,0
4/23/2020,Madera ,0,0,0,0,0
4/23/2020,Marin ,132,96,44,0,0
4/23/2020,Mariposa ,44,12,0,0,0
4/23/2020,Mendocino ,146,107,0,0,0
4/23/2020,Merced ,10,0,0,0,0
4/23/2020,Modoc ,10,1,0,0,0
4/23/2020,Mono ,48,0,0,0,0
4/23/2020,Monterey ,142,1,108,15,8
4/23/2020,Napa ,104,48,18,0,0
4/23/2020,Nevada ,27,0,0,0,0
4/23/2020,Orange ,275,81,78,78,0
4/23/2020,Placer ,32,32,12,0,0
4/23/2020,Plumas ,0,0,0,0,0
4/23/2020,Riverside ,422,303,15,15,0
4/23/2020,Sacramento ,316,63,63,63,0
4/23/2020,San Benito ,67,40,3,3,0
4/23/2020,San Bernardino ,50,37,20,0,20
4/23/2020,San Diego ,2029,409,44,44,0
4/23/2020,San Francisco,1328,809,91,59,0
4/23/2020,San Joaquin ,0,0,8,8,0
4/23/2020,San Luis Obispo ,154,4,14,14,0
4/23/2020,San Mateo ,136,92,0,0,0
4/23/2020,Santa Barbara ,98,34,0,0,0
4/23/2020,Santa Clara ,615,243,105,105,0
4/23/2020,Santa Cruz ,27,19,35,0,0
4/23/2020,Shasta ,20,0,0,0,0
4/23/2020,Sierra ,0,0,0,0,0
4/23/2020,Siskiyou ,0,0,6,6,0
4/23/2020,Solano ,0,0,0,0,0
4/23/2020,Sonoma ,45,45,0,0,0
4/23/2020,Stanislaus ,121,19,0,0,0
4/23/2020,Sutter ,16,16,5,0,0
4/23/2020,Tehama ,0,0,5,5,0
4/23/2020,Trinity ,10,0,0,0,0
4/23/2020,Tulare ,56,0,0,0,0
4/23/2020,Tuolumne,0,0,0,0,0
4/23/2020,Ventura ,388,258,0,0,0
4/23/2020,Yolo ,246,212,0,0,0
4/23/2020,Yuba ,30,17,5,0,0
4/24/2020,Alameda,385,344,91,91,0
4/24/2020,Alpine ,0,0,0,0,0
4/24/2020,Amador,0,0,0,0,0
4/24/2020,Butte,89,89,0,0,0
4/24/2020,Calaveras,75,20,0,0,0
4/24/2020,Colusa,0,0,0,0,0
4/24/2020,Contra Costa,340,129,0,0,0
4/24/2020,Del Norte,10,0,0,0,0
4/24/2020,El Dorado,26,0,0,0,0
4/24/2020,Fresno,305,250,28,28,0
4/24/2020,Glenn ,6,6,0,0,0
4/24/2020,Humboldt,44,11,15,0,0
4/24/2020,Imperial,36,0,37,10,0
4/24/2020,Inyo,10,1,0,0,0
4/24/2020,Kern,2,2,15,15,0
4/24/2020,Kings,0,0,0,0,0
4/24/2020,Lake ,15,10,0,0,0
4/24/2020,Lassen,1,1,0,0,0
4/24/2020,Los Angeles,3292,1054,658,649,0
4/24/2020,Madera,20,20,0,0,0
4/24/2020,Marin ,132,96,44,0,0
4/24/2020,Mariposa,44,13,0,0,0
4/24/2020,Mendocino,149,110,0,0,0
4/24/2020,Merced,85,34,0,0,0
4/24/2020,Modoc,10,1,0,0,0
